"minerID","capacity_GiB","storage_power_W","sealed_GiB_per_day","sealing_power_W","total_power_W"
"f01231",60826304,195935.2398124155,0,0,307618.3265054923
"f01278",100811.80952380953,324.73756871650744,688,1051.4652602914134,2160.638441542436
"f02301",2708574.4,8724.928850087117,0,0,13698.138294636774
"f02420",6864224,22111.21319431373,0,0,34714.60471507256
"f02540",284864,917.611172855808,0,0,1440.6495413836187
"f02721",6901824,22232.33127206093,0,0,34904.76009713566
"f02726",10331648,33280.56770533786,0,0,52250.491297380446
"f03176",11220224,36142.87135034573,0,0,56744.3080200428
"f03223",1688384,5438.665547317249,0,0,8538.70490928808
"f03266",7151456,23036.452229087234,0,0,36167.22999966696
"f03287",4689440,15105.74357741568,0,0,23716.017416542618
"f03325",159968,515.2929963048961,0,0,809.0100041986868
"f03519",268951.36,866.352971561042,0,0,1360.174165350836
"f08399",346083.36842105264,1114.8125617934552,0,0,1750.2557220157248
"f08532",0,0,0,0,0
"f09848",174307.67213114753,561.484313433877,0,0,881.5303720911869
"f010088",324156.44444444444,1044.1809957573973,288,440.14824849408,2330.3969134748195
"f014327",95616,308.000694730752,0,0,483.56109072728066
"f014392",136032,438.189743407104,0,0,687.9578971491533
"f014409",35232,113.49021582950401,0,0,178.1796388523213
"f014415",245184,789.792946126848,0,0,1239.9749254191515
"f015767",7119712,22934.197647704066,0,0,36006.69030689538
"f015927",70784,228.01122381004802,0,0,357.9776213817754
"f015942",80128,258.110354620416,0,0,405.2332567540531
"f016398",13997824,45090.14722137293,0,0,70791.5311375555
"f020940",46528,149.87717876121602,0,0,235.30717065510916
"f021479",61627904,198517.3741507707,0,0,311672.27741671
"f022125",20704,66.69225217228801,0,0,104.70683591049217
"f022142",307124.48,989.3171980507545,784,1198.1813431227736,3434.372709642439
"f023530",39201120,126275.64627492864,0,0,198252.764651638
"f023971",485216,1562.9901386219522,0,0,2453.894517636465
"f024156",2373184,7644.560750542848,0,0,12001.960378352273
"f032824",39200,126.27203850240001,80,122.26340235946668,390.2006421531307
"f034258",39040,125.75664242688,0,0,197.43792861020162
"f034544",4389152,14138.448222879744,0,0,22197.3637099212
"f047419",58469.818181818184,188.34446767048146,0,0,295.7008142426559
"f055522",42848,138.02306902425602,0,0,216.69621836808196
"f058369",43687.11111111111,140.72603510920533,80,122.26340235946668,412.89341682581505
"f058374",492608,1586.801437310976,0,0,2491.2782565782327
"f064218",364384,1173.7630223892481,0,0,1842.8079451511196
"f066596",1333369.92,4295.085149902602,1184,1809.4983549201067,9584.196102571654
"f070501",2085568,6718.084765188097,0,0,10547.393081345312
"f070932",72744736,234327.1965571154,0,0,367893.6985946712
"f071624",11488,37.005438222336004,0,0,58.098538009067525
"f073628",1852672,5967.874237661184,0,0,9369.56255312806
"f079247",1461344,4707.318516154368,0,0,7390.490070362358
"f079301",1588992,5118.5015052042245,0,0,8036.047363170633
"f082669",1547.4871794871794,4.984805120157539,0,0,7.826144038647336
"f083920",1313440,4230.88638394368,0,0,6642.491622791577
"f089767",302336,973.8924243025921,0,0,1529.0111061550697
"f090893",460896,1484.649935142912,0,0,2330.9003981743717
"f092516",6060.521739130435,19.522306999696696,0,0,30.650021989523815
"f094128",49856,160.597417132032,0,0,252.13794489729025
"f097219",155616,501.274223050752,0,0,787.0005301896807
"f098770",121536,391.49485896499203,0,0,614.6469285750375
"f0107127",126760.67796610169,408.32472471239595,960,1467.1608283136002,2944.512318250814
"f0110804",57639.27272727273,185.66909349664584,192,293.43216566272,752.1889768802045
"f0113331",363027.2,1169.3924636688384,832,1271.5393845384535,3832.263001685449
"f0114687",2317632,7465.615233122305,0,0,11721.01591600202
"f0116766",16704,53.807350284288006,0,0,84.47753994633217
"f0131464",57312,184.614874251264,0,0,289.84535257448454
"f0135078",506913.28,1632.8819696310684,784,1198.1813431227736,4444.769401023533
"f0137168",176042.66666666666,567.073122025472,1200,1833.9510353920002,3769.607927145432
"f0143858",11114336,35801.7822275666,192,293.43216566272,56669.48659737003
"f0144724",61848,199.226352992256,128,195.62144377514667,619.9110409248221
"f0149455",274208,883.285794226176,0,0,1386.7586969350964
"f0151034",11520,37.10851743744,0,0,58.2603723767808
"f0152337",33204288,106958.49828522395,0,0,167924.8423078016
"f0219415",0,0,0,0,0
"f0219631",0,0,0,0,0
"f0221135",16288,52.467320487936,0,0,82.37369316605952
"f0224782",0,0,0,0,0
"f0228388",64,0.206158430208,0,0,0.32366873542656005
"f0231135",0,0,0,0,0
